season,player_id,player_name,recent_team,position,pff_id,player,metric,value,metric_cat
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 03+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 06+,0.3333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 07+,0.3333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 08+,0.3333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 09+,0.3333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets - 10+,0.3333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Opps - 10+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Opps - 12+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Opps - 15+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Opps - 18+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Opps - 20+,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY - 050+,0,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY - 075+,0,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY - 090+,0,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY - 100+,0,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP Pos. Top-12 Rate,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP Pos. Top-24 Rate,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP FLEX Top-12 Rate,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP FLEX Top-24 Rate,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP FLEX Top-36 Rate,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP - Total,90.4,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,EPA,12.84534691301028,Efficiency
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP/Gm,30.133333333333336,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets/Gm,6.333333333333333,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Targets/Gm SD,3.2145502536643185,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY/Gm,9,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,AY Std. Dev.,11.357816691600547,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP ±,6.31057313826037,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Games 1 SD Over EP,1,Production
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Exp. FP/Gm,21.5,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Expected FP ±,3,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,FP vs. Exp.,6,Efficiency
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Gms.,3,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Positive FPVE Rate,1,Efficiency
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Non-xTD Share of xFP,0.6566930783903873,Efficiency
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Non-TD Share of FP,0.5518026634603123,Efficiency
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Exp. Pts. Pos. Top-12 Rate,1,Opportunity
2020,00-0033280,Christian McCaffrey,CAR,RB,11763,Christian McCaffrey,Exp. Pts. Pos. Top-24 Rate,1,Opportunity
