ud_id,full_name,position,team,proj,adp,pos_max_proj,proxy_proj,pff_id,ep,notd_ep,noscramb_ep,notd_noscramb_ep,team_ep,team_ppg,team_fpoe,game_recency,min_ppg,min_ep,min_notd_ep,min_noscramb_ep,min_notd_noscramb_ep,min_team_ep,min_team_ppg,min_team_fpoe,min_game_recency,max_ppg,max_ep,max_notd_ep,max_noscramb_ep,max_notd_noscramb_ep,max_team_ep,max_team_ppg,max_team_fpoe,max_game_recency,ppg
78a5634d-93aa-4cd9-b1af-dfb829df452c,Christian McCaffrey,RB,CAR,19.75,1,19.75,1,11763,22.435294117647057,15.862964705882353,22.435294117647057,15.862964705882353,85.76470588235294,79.89411764705882,-0.5491161616161615,1,13.7,12.4,12.1624,12.4,12.1624,62.5,47.6,-4.125,1,44.7,32.3,22.9272,32.3,22.9272,108.89999999999999,109.3,3.4750000000000005,1,26.405882352941177
a971451b-f89e-498f-a6b4-060854880ed6,Dalvin Cook,RB,MIN,18.92,2.1,19.75,0.96,11796,19.1,12.575811764705882,19.1,12.575811764705882,76.71176470588235,84.62941176470588,0.9812477718360072,1,5.6,9.8,6.524799999999999,9.8,6.524799999999999,47.199999999999996,32.3,-2.611111111111111,1,47.6,31,21.4768,31,21.4768,99.1,106.8,4.487500000000001,1,20.805882352941175
53565b50-b52d-4c4f-bcf7-ee96476f4bbc,Derrick Henry,RB,TEN,17.67,3.8,19.75,0.895,10679,16.594117647058823,11.522070588235295,16.594117647058823,11.522070588235295,75.36470588235294,87.75882352941177,1.2213907987437398,1,6.6,8.2,7.4,8.2,7.4,50.9,46.7,-0.9700000000000001,1,39.4,25.6,15.5592,25.6,15.5592,99.8,143.5,4.481818181818182,1,19.541176470588237
30149020-3a70-47ce-a8e2-b52f0a5770fa,Alvin Kamara,RB,NO,16.63,4.3,19.75,0.84,11822,17.847058823529412,12.048941176470588,17.847058823529412,12.048941176470588,80.25294117647059,85.76470588235294,0.5183110516934046,1,5.7,6.4,6.1000000000000005,6.4,6.1000000000000005,51.9,59.800000000000004,-1.1545454545454545,1,54.7,29.5,17.4168,29.5,17.4168,95.10000000000001,119.1,2.5,1,21.58235294117647
c5897583-8409-4f22-a2af-e0eb91deaadd,Ezekiel Elliott,RB,DAL,14.34,5.7,19.75,0.725,10638,16.54705882352941,11.42969411764706,16.54705882352941,11.42969411764706,88.11764705882354,83.62941176470588,-0.4981818181818182,1,4.4,8.9,7.2224,8.9,7.2224,47.9,28.8,-4.0375000000000005,1,26.2,29.6,14.9072,29.6,14.9072,124.60000000000001,144.29999999999998,5.844444444444445,1,14.323529411764707
e4241c8c-f93e-4cc0-9512-0ed95e81f98d,Travis Kelce,TE,KC,17.06,6.5,17.06,1,7844,15.217647058823529,11.392329411764706,15.217647058823529,11.392329411764706,90.84705882352941,98.88823529411765,0.7718125828419946,1,4.6,4.3,3.436,4.3,3.436,69.8,70.4,-1.6999999999999995,1,30.3,28,16.1344,28,16.1344,111.3,134.4,3.155555555555555,1,18.311764705882354
60fa6a9f-f875-4f7f-9bdc-8528b10fa2ec,Davante Adams,WR,GB,17.14,6.9,17.14,1,8688,17.04705882352941,11.573364705882353,17.04705882352941,11.573364705882353,82.75294117647059,97.7764705882353,1.4787267797561916,1,5.1,4.2,4.1424,4.2,4.1424,63.6,43.8,-2.127272727272727,1,38.1,29.7,17.556800000000003,29.7,17.556800000000003,114.3,128.8,3.89,1,20.911764705882355
1c94a675-56a9-457d-8c67-2d5d603ccc1a,Tyreek Hill,WR,KC,16.12,8.2,17.14,0.9400000000000001,10799,14.929411764705883,10.955576470588236,14.929411764705883,10.955576470588236,90.84705882352941,98.88823529411765,0.7718125828419946,1,4,5.3,3.8024,5.3,3.8024,69.8,70.4,-1.6999999999999995,1,51.4,34.9,22.208799999999997,34.9,22.208799999999997,111.3,134.4,3.155555555555555,1,19
0c34def2-b7a8-4bd5-91d7-92fb7620707b,Stefon Diggs,WR,BUF,17.07,10,17.14,0.995,9579,14.7,11.96569411764706,14.7,11.96569411764706,87.1470588235294,89.97058823529412,0.22670528817587637,1,7.4,8.8,5.958399999999999,8.8,5.958399999999999,57.5,51.5,-3.0888888888888886,1,37,20.2,19.048,20.2,19.048,108.8,124.2,3.672727272727273,1,16.488235294117647
6f5ca433-e04e-47e9-aea3-f49aff710a42,Aaron Jones,RB,GB,15.23,10.3,19.75,0.77,11937,14.564705882352941,9.856188235294118,14.564705882352941,9.856188235294118,83.46470588235294,97.90588235294118,1.4348765123765124,1,5.4,9.3,7.202400000000001,9.3,7.202400000000001,63.6,43.8,-2.127272727272727,1,43.6,25.3,15.7072,25.3,15.7072,114.3,128.8,3.89,1,16.55294117647059
fbaa93f9-6961-407f-9042-5d033198e870,Saquon Barkley,RB,NYG,15.44,11,19.75,0.78,45791,16.676470588235293,12.24084705882353,16.676470588235293,12.24084705882353,79.64117647058823,83.82352941176471,0.5034328579916816,1,2.8,1.9,1.9,1.9,1.9,55.6,58.699999999999996,-2.6444444444444444,1,41.9,30.4,18.3736,30.4,18.3736,93.7,140.2,5.8125,1,15.81764705882353
bae7ce70-f464-4e36-a82b-9cd1ee544f03,Austin Ekeler,RB,LAC,15,11.7,19.75,0.76,12164,13.194117647058823,10.604235294117647,13.194117647058823,10.604235294117647,82.35882352941177,81.61176470588235,-0.10215983363042187,1,1.9,1.9,1.9,1.9,1.9,49.9,47.300000000000004,-2.35,1,29.3,27.4,19.9024,27.4,19.9024,103.5,128.6,5.172727272727273,1,14.394117647058824
