Player,Pos.,2022 Team,2023 Team,Type,Snaps,Age,Current APY,Guarantees,Re-Sign,Adj Name,Adj Position
Aaron Rodgers,QB,Packers,Jets,Trade,97.60%,40,"$50,271,667","$101,415,000",0,Aaron Rodgers,QB
Derek Carr,QB,Raiders,Saints,Signed,85.80%,32,"$37,500,000","$60,000,000",0,Derek Carr,QB
Carson Wentz,QB,Commanders,,SFA,42.90%,31,"$32,000,000","$66,470,683",0,Carson Wentz,QB
Matt Ryan,QB,Colts,,SFA,73.50%,38,"$30,000,000","$94,500,000",0,Matt Ryan,QB
DeAndre Hopkins,WR,Cardinals,,SFA,46.10%,31,"$27,250,000","$42,750,000",0,DeAndre Hopkins,WR
Tom Brady,QB,Buccaneers,,UFA,98.00%,46,"$25,000,000","$25,000,000",0,Tom Brady,QB
Jimmy Garoppolo,QB,49ers,Raiders,Signed,55.80%,32,"$24,250,000","$33,750,000",0,Jimmy Garoppolo,QB
D.J. Moore,WR,Panthers,Bears,Trade,96.30%,26,"$20,628,000","$41,610,000",0,D.J. Moore,WR
Kenny Golladay,WR,Giants,,SFA,23.00%,30,"$18,000,000","$28,000,000",0,Kenny Golladay,WR
Darren Waller,TE,Raiders,Giants,Trade,31.40%,31,"$17,000,000","$19,250,000",0,Darren Waller,TE
Ezekiel Elliott,RB,Cowboys,,UFA,47.20%,28,"$15,000,000","$28,052,137",0,Ezekiel Elliott,RB
Dalvin Cook,RB,Vikings,,SFA,72.00%,28,"$12,600,000","$16,331,361",0,Dalvin Cook,RB
Allen Lazard,WR,Packers,Jets,Signed,78.90%,28,"$11,000,000","$22,000,000",0,Allen Lazard,WR
Jakobi Meyers,WR,Patriots,Raiders,Signed,65.60%,27,"$11,000,000","$16,000,000",0,Jakobi Meyers,WR
Brandin Cooks,WR,Texans,Cowboys,Trade,61.80%,30,"$10,000,000","$12,000,000",0,Brandin Cooks,WR
JuJu Smith-Schuster,WR,Chiefs,Patriots,Signed,66.60%,27,"$8,500,000","$16,000,000",0,JuJu Smith-Schuster,WR
Adam Thielen,WR,Vikings,Panthers,Signed,89.20%,33,"$8,333,333","$14,000,000",0,Adam Thielen,WR
Jacoby Brissett,QB,Browns,Commanders,Signed,67.00%,31,"$8,000,000","$7,500,000",0,Jacoby Brissett,QB
Robert Woods,WR,Titans,Texans,Signed,78.00%,31,"$7,625,000","$10,000,000",0,Robert Woods,WR
Jonnu Smith,TE,Patriots,Falcons,Trade,40.20%,28,"$7,500,000","$8,500,000",0,Jonnu Smith,TE
Allen Robinson,WR,Rams,Steelers,Trade,54.90%,30,"$7,500,000","$5,000,000",0,Allen Robinson,WR
Hayden Hurst,TE,Bengals,Panthers,Signed,49.00%,30,"$7,250,000","$13,000,000",0,Hayden Hurst,TE
Leonard Fournette,RB,Buccaneers,,SFA,56.70%,28,"$7,000,000","$9,000,000",0,Leonard Fournette,RB
Josh Oliver,TE,Ravens,Vikings,Signed,45.00%,26,"$7,000,000","$8,200,000",0,Josh Oliver,TE
Taylor Heinicke,QB,Commanders,Falcons,Signed,51.60%,30,"$7,000,000","$6,320,000",0,Taylor Heinicke,QB
Teddy Bridgewater,QB,Dolphins,,UFA,13.30%,31,"$6,500,000","$6,500,000",0,Teddy Bridgewater,QB
Miles Sanders,RB,Eagles,Panthers,Signed,57.10%,26,"$6,350,000","$13,000,000",0,Miles Sanders,RB
Dalton Schultz,TE,Cowboys,Texans,Signed,69.10%,27,"$6,250,000","$6,000,000",0,Dalton Schultz,TE
David Montgomery,RB,Bears,Lions,Signed,60.80%,26,"$6,000,000","$8,750,000",0,David Montgomery,RB
Julio Jones,WR,Buccaneers,,UFA,28.90%,34,"$6,000,000","$6,000,000",0,Julio Jones,WR
Kareem Hunt,RB,Browns,,UFA,41.90%,28,"$6,000,000","$5,509,000",0,Kareem Hunt,RB
Andy Dalton,QB,Saints,Panthers,Signed,70.00%,36,"$5,000,000","$8,000,000",0,Andy Dalton,QB
D.J. Chark,WR,Lions,Panthers,Signed,46.80%,27,"$5,000,000","$5,000,000",0,D.J. Chark,WR
Marcus Mariota,QB,Falcons,Eagles,Signed,73.80%,30,"$5,000,000","$5,000,000",0,Marcus Mariota,QB
Jarrett Stidham,QB,Raiders,Broncos,Signed,14.20%,27,"$5,000,000","$5,000,000",0,Jarrett Stidham,QB
Deonte Harty,WR,Saints,Bills,Signed,2.30%,26,"$4,750,000","$4,750,000",0,Deonte Harty,WR
Parris Campbell,WR,Colts,Giants,Signed,85.10%,26,"$4,700,000","$2,900,000",0,Parris Campbell,WR
Mike Gesicki,TE,Dolphins,Patriots,Signed,45.20%,28,"$4,500,000","$3,550,000",0,Mike Gesicki,TE
Sam Darnold,QB,Panthers,49ers,Signed,37.10%,26,"$4,500,000","$3,500,000",0,Sam Darnold,QB
Byron Pringle,WR,Bears,,UFA,27.60%,30,"$4,125,000","$3,900,000",0,Byron Pringle,WR
Foster Moreau,TE,Raiders,Saints,Signed,67.60%,26,"$4,078,000","$8,020,000",0,Foster Moreau,TE
Jamaal Williams,RB,Lions,Saints,Signed,40.30%,28,"$4,000,000","$8,150,000",0,Jamaal Williams,RB
Mike White,QB,Jets,Dolphins,Signed,25.60%,28,"$4,000,000","$4,500,000",0,Mike White,QB
Baker Mayfield,QB,Rams,Buccaneers,Signed,63.70%,28,"$4,000,000","$4,000,000",0,Baker Mayfield,QB
Cameron Brate,TE,Buccaneers,,SFA,29.20%,32,"$4,000,000","$4,000,000",0,Cameron Brate,TE
Mecole Hardman,WR,Chiefs,Jets,Signed,26.40%,25,"$4,000,000","$3,580,000",0,Mecole Hardman,WR
Marcedes Lewis,TE,Packers,,UFA,41.20%,39,"$4,000,000","$2,100,000",0,Marcedes Lewis,TE
Samaje Perine,RB,Bengals,Broncos,Signed,40.30%,28,"$3,750,000","$3,000,000",0,Samaje Perine,RB
J.D. McKissic,RB,Commanders,,SFA,18.60%,30,"$3,500,000","$3,645,000",0,J.D. McKissic,RB
Gardner Minshew,QB,Eagles,Colts,Signed,12.80%,27,"$3,500,000","$3,500,000",0,Gardner Minshew,QB
Geoff Swaim,TE,Titans,,UFA,54.00%,30,"$3,500,000","$3,400,000",0,Geoff Swaim,TE
Braxton Berrios,WR,Jets,Dolphins,Signed,26.70%,28,"$3,500,000","$3,000,000",0,Braxton Berrios,WR
A.J. Green,WR,Cardinals,,UFA,46.00%,35,"$3,500,000","$3,000,000",0,A.J. Green,WR
Joe Flacco,QB,Jets,,UFA,26.50%,38,"$3,500,000","$2,850,000",0,Joe Flacco,QB
Nelson Agholor,WR,Patriots,Ravens,Signed,45.20%,30,"$3,250,000","$3,250,000",0,Nelson Agholor,WR
Case Keenum,QB,Bills,Texans,Signed,2.20%,35,"$3,125,000","$4,000,000",0,Case Keenum,QB
Andrew Beck,TE,Broncos,Texans,Signed,17.40%,27,"$3,125,000","$4,000,000",0,Andrew Beck,TE
Nick Foles,QB,Colts,,SFA,7.20%,34,"$3,100,000","$4,000,000",0,Nick Foles,QB
Chris Manhertz,TE,Jaguars,Broncos,Signed,38.00%,31,"$3,000,000","$3,340,000",0,Chris Manhertz,TE
Marvin Jones,WR,Jaguars,Lions,Signed,62.30%,33,"$3,000,000","$3,000,000",0,Marvin Jones,WR
Jarvis Landry,WR,Saints,,UFA,28.60%,31,"$3,000,000","$3,000,000",0,Jarvis Landry,WR
